Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
343606202,HELLA BLUE STRIP LIGHT,130.01,3,41.41,0.00,WEST,Default,HELLA BLUE STRIP LIGHT
ANC-311425,HEAT SK.RING 16-14 1/425PAK,39.06,2,21.05,39.06,WEST,Default,HEAT SK.RING 16-14 1/425PAK
anc-312625bulk,"bulk 12-1- 3/8""",1.91,25,1.16,0.00,WEST,Default,"bulk 12-1- 3/8"""
CMT-852835A,AL VOLVO 290 OUTDRIVE BAR,33.77,2,18.20,33.77,WEST,Default,AL VOLVO 290 OUTDRIVE BAR
INT-YBM010-QT,BOTTOMKOTE-CA BLUE,66.99,4,48.92,66.94,WEST,Default,BOTTOMKOTE-CA BLUE
MAR-8059,1-1/2 Barb-Barb,21.49,1,11.55,21.49,WEST,Default,1-1/2 Barb-Barb
VER-81150,(25)8 22-18 ADH HS RING TERM,21.58,2,11.63,21.58,WEST,Default,(25)8 22-18 ADH HS RING TERM
"WES-DL3/4""x25'","3/4"" x 25' Assorted Colours",101.85,0,60.99,101.85,WEST,Default,"3/4"" x 25' Assorted Colours"
WON-2XFT,WonderFlex Charged per Foot,29.74,0,16.02,29.74,WEST,Default,WonderFlex Charged per Foot
18-2832 1,GASKET @2 MERC#27-48043  1,12.11,2,5.89,12.11,WEST,SEA,GASKET @2 MERC#27-48043  1
SED136016-1,BROZ EYE SEADOG,22.20,1,9.99,0.00,WEST,SEA,BROZ EYE SEADOG
18-7824-2,OIL FILTER,12.09,5,7.52,0.00,WEST,Sierra,OIL FILTER
18-7944,Fuel/Watter separating filter,12.09,0,7.24,0.00,WEST,Sierra,Fuel/Watter separating filter
SIE-18-7824-2,OIL FILTER,15.28,5,8.26,15.28,WEST,Sierra,OIL FILTER
SIE-18-9650-2,HI-PERF.GEAR LUBE-QT,27.71,3,14.93,27.71,WEST,Sierra,HI-PERF.GEAR LUBE-QT
00117075,"BUCK-CORED PLUG, BRONZE",12.10,0,1.00,12.10,WEST,WEST,"BUCK-CORED PLUG, BRONZE"
010-02091-51,GPSMAP 8610XSV,3639.80,0,3279.10,3639.80,WEST,WEST,GPSMAP 8610XSV
012415-10,"UNION CONNECTR 1/2""CTS(3515-10",14.96,1,7.55,14.96,WEST,WEST,"UNION CONNECTR 1/2""CTS(3515-10"
02017-00,1/8 T/SEND SINGLE STATION DAT,27.86,4,7.48,27.86,WEST,WEST,1/8 T/SEND SINGLE STATION DAT
04036-PT,"CABLE MOTOR-24V,  GLENDENING",304.94,0,182.60,304.94,WEST,WEST,"CABLE MOTOR-24V,  GLENDENING"
050001199C,"CYLINDER, TRANSPARENT SPARE-8""X14""",624.82,0,374.89,624.82,WEST,WEST,"CYLINDER, TRANSPARENT SPARE-8""X14"""
07494,PRIMER BULB - 5/16 INCH,15.59,2,9.08,15.59,WEST,WEST,PRIMER BULB - 5/16 INCH
07813,PRIMER BULB- 1 1/4 INCH,15.89,2,9.83,15.89,WEST,WEST,PRIMER BULB- 1 1/4 INCH
09060,09060 32OZ Hull/Deck CLNR,48.42,0,23.28,0.00,WEST,WEST,09060 32OZ Hull/Deck CLNR
1000047,S/S ALLEN SKT KNRL CAP SCREW,36.44,0,19.64,36.44,WEST,WEST,S/S ALLEN SKT KNRL CAP SCREW
1000098,SA2 SMART ACUATOR 12V PORT,4585.70,0,2745.93,4585.70,WEST,WEST,SA2 SMART ACUATOR 12V PORT
1000101,REPAIR KIT FOR W/CR IMPELLER,233.27,0,132.70,233.27,WEST,WEST,REPAIR KIT FOR W/CR IMPELLER
1000128,K CRANK ASSEMBLY,407.60,0,219.66,407.60,WEST,WEST,K CRANK ASSEMBLY
1000136,SA2 SMART ACUATOR 12V STBD,4585.70,0,2745.93,4585.70,WEST,WEST,SA2 SMART ACUATOR 12V STBD
1000284,KIT TOILET MNTING F/M-28,78.89,0,42.52,78.89,WEST,WEST,KIT TOILET MNTING F/M-28
1000349,S/S TBKL FORK/FORK 5/8 TH WIRE,352.27,0,189.85,352.27,WEST,WEST,S/S TBKL FORK/FORK 5/8 TH WIRE
1000357,BAR LAMP 24V,155.23,0,83.65,155.23,WEST,WEST,BAR LAMP 24V
1000365,PIRANNA 1100 GPH BILGE PUMP,158.28,0,85.30,158.28,WEST,WEST,PIRANNA 1100 GPH BILGE PUMP
1000519,3/4 FOOTLESS PUMP,1554.22,0,837.60,1554.22,WEST,WEST,3/4 FOOTLESS PUMP
1000543,TRIPLE CLUTCH BLACK SIDES,726.05,0,543.45,726.05,WEST,WEST,TRIPLE CLUTCH BLACK SIDES
1000551,RIBBED TAPER STANCH POST ONLY,103.36,0,55.70,103.36,WEST,WEST,RIBBED TAPER STANCH POST ONLY
100056,2-1/8X2-1/4 CUPBOARD TURN,111.96,0,60.34,111.96,WEST,WEST,2-1/8X2-1/4 CUPBOARD TURN
