Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
AAL-10231,"WTR FLOW DETECT 2""""            """,216.93,0,116.91,216.93,WEST,WEST,"WTR FLOW DETECT 2""""            """
AAL-10233,"WTR FLOW DETECT 1""""            """,200.25,0,107.92,200.25,WEST,WEST,"WTR FLOW DETECT 1""""            """
AAL-10235,"WTR FLOW DETECT 3/"""" 12-32V PDL""",148.51,0,80.04,148.51,WEST,WEST,"WTR FLOW DETECT 3/"""" 12-32V PDL"""
AAL-10271,"WTR FLOW DETECT 1-1/2""""        """,200.25,0,107.92,200.25,WEST,WEST,"WTR FLOW DETECT 1-1/2""""        """
AAL-10331,"WTR FLW DETECT 2"""" 12-32V PDL  """,216.93,0,116.91,216.93,WEST,WEST,"WTR FLW DETECT 2"""" 12-32V PDL  """
AAL-10333,"WTR FLW DETECT 1""""12-32V PDL   """,200.25,0,107.92,200.25,WEST,WEST,"WTR FLW DETECT 1""""12-32V PDL   """
AAL-10334,"WTR FLW DETECT1-1/4""""12-32V PDL""",200.25,0,107.92,200.25,WEST,WEST,"WTR FLW DETECT1-1/4""""12-32V PDL"""
AAL-10371,"WTR FLW DETECT1-1/2""""12-32V PDL""",200.25,0,107.92,200.25,WEST,WEST,"WTR FLW DETECT1-1/2""""12-32V PDL"""
AAL-13110,"WTR FLW DETECT 2-1/2""""         """,176.89,0,95.33,176.89,WEST,WEST,"WTR FLW DETECT 2-1/2""""         """
AAL-13111,"WTR FLW DETECT 3""""             """,176.89,0,95.33,176.89,WEST,WEST,"WTR FLW DETECT 3""""             """
AAL-13114,"WTR FLW DETECT 3-1/2""""         """,176.89,0,95.33,176.89,WEST,WEST,"WTR FLW DETECT 3-1/2""""         """
AAL-13117,"WTR FLW DETECT 4-1/2""""         """,176.89,0,95.33,176.89,WEST,WEST,"WTR FLW DETECT 4-1/2""""         """
AAL-13209,WTR FLW DETECT LO FLO3/4-1-1/2,200.25,0,113.46,200.25,WEST,WEST,WTR FLW DETECT LO FLO3/4-1-1/2
AAL-20001,SYS MONITOR KIT 12V W/BELL,599.05,0,322.84,599.05,WEST,WEST,SYS MONITOR KIT 12V W/BELL
AAL-20003,SYS MONITOR KIT 12V TWN ENG,999.53,0,538.67,999.53,WEST,WEST,SYS MONITOR KIT 12V TWN ENG
AAL-20007,SYS MONITOR KIT 12V W/O BELL,231.96,0,125.01,231.96,WEST,WEST,SYS MONITOR KIT 12V W/O BELL
AAL-20008,SYS MONITOR KIT DUAL ENG BASIC,498.95,0,268.89,498.95,WEST,WEST,SYS MONITOR KIT DUAL ENG BASIC
AAL-20009,SYS MONITOR KIT 32V,248.63,0,133.99,248.63,WEST,WEST,SYS MONITOR KIT 32V
AAL-20011,LAST WATCH II ALARM DGTL12-32V,383.80,0,206.84,383.80,WEST,WEST,LAST WATCH II ALARM DGTL12-32V
AAL-20020,CNTRL BOARD PRNTD CIRC 12V,193.50,0,104.28,193.50,WEST,WEST,CNTRL BOARD PRNTD CIRC 12V
AAL-20021,CNTRL BOARD PRNTD CIRC 24V,201.85,0,108.78,201.85,WEST,WEST,CNTRL BOARD PRNTD CIRC 24V
AAL-20022,CNTRL BOARD PRNTD CIRC 32V,201.85,0,108.78,201.85,WEST,WEST,CNTRL BOARD PRNTD CIRC 32V
AAL-20030,INDICATOR PANEL SGL ENG,63.43,0,34.18,63.43,WEST,WEST,INDICATOR PANEL SGL ENG
AAL-20031,INDICATOR PANEL DUAL ENG,120.14,0,64.75,120.14,WEST,WEST,INDICATOR PANEL DUAL ENG
AAL-20032,SMRT SWTCH-12V,88.44,0,47.66,88.44,WEST,WEST,SMRT SWTCH-12V
AAL-20035,SMRT SWCH AUTO BLG SYS12V-208A,148.51,0,80.04,148.51,WEST,WEST,SMRT SWCH AUTO BLG SYS12V-208A
AAL-20036,SMRT SWCH AUTO BLG SYS24V-208A,148.51,0,80.04,148.51,WEST,WEST,SMRT SWCH AUTO BLG SYS24V-208A
AAL-20038,SS-209 SMRT BLG PUMP 12V,211.94,0,114.22,211.94,WEST,WEST,SS-209 SMRT BLG PUMP 12V
AAL-20039,SS-209 SMRT BLG PUMP 24V,216.93,0,116.91,216.93,WEST,WEST,SS-209 SMRT BLG PUMP 24V
AAL-20043,BILGE PMP MONITR 12V,261.97,0,141.18,261.97,WEST,WEST,BILGE PMP MONITR 12V
AAL-20045,BILGE PMP CNTER 12-32V,133.42,0,71.90,133.42,WEST,WEST,BILGE PMP CNTER 12-32V
AAL-20045-SM,BILGE PMP CNT SUR MNT 12-32V,126.82,0,68.35,126.82,WEST,WEST,BILGE PMP CNT SUR MNT 12-32V
AAL-20050,"BAIT TANK ALRM 3/4""""/1-1/2"""" FPT""",216.93,0,116.91,216.93,WEST,WEST,"BAIT TANK ALRM 3/4""""/1-1/2"""" FPT"""
AAL-20063,"SAVE YOUR ENG KIT 2""""          """,225.28,0,121.41,225.28,WEST,WEST,"SAVE YOUR ENG KIT 2""""          """
AAL-20064,"SAVE YOUR ENG KIT 1/2""""/1-1/2"""" """,216.93,0,116.91,216.93,WEST,WEST,"SAVE YOUR ENG KIT 1/2""""/1-1/2"""" """
AAL-20068,"SAVE YOUR GENERATR KIT 1""""FPT  """,216.93,0,116.91,216.93,WEST,WEST,"SAVE YOUR GENERATR KIT 1""""FPT  """
AAL-20072,FIRE SPRVISR MNITR PANEL,370.46,0,199.65,370.46,WEST,WEST,FIRE SPRVISR MNITR PANEL
AAL-20090,PUMP SWITCH HD 12V 30A,98.45,0,53.05,98.45,WEST,WEST,PUMP SWITCH HD 12V 30A
AAL-20100,RED WARN BELL-12V,125.15,0,67.45,125.15,WEST,WEST,RED WARN BELL-12V
AAL-20101,RED WARN BELL-24V,133.50,0,71.95,133.50,WEST,WEST,RED WARN BELL-24V
AAL-20102,RED WARN BELL-32V,133.50,0,71.95,133.50,WEST,WEST,RED WARN BELL-32V
AAL-20106,ALARM BUZZER 85DB 12-32V,48.40,0,26.08,48.40,WEST,WEST,ALARM BUZZER 85DB 12-32V
AAL-20107,IND/OUTD ALARM SIREN 12V,93.45,0,50.36,93.45,WEST,WEST,IND/OUTD ALARM SIREN 12V
AAL-20111,LO OIL PRESS DETECTOR 12V,50.07,0,26.98,50.07,WEST,WEST,LO OIL PRESS DETECTOR 12V
AAL-20112,RMT FIRE DETECT 12V NEW,110.14,0,59.35,110.14,WEST,WEST,RMT FIRE DETECT 12V NEW
AAL-20116,OVRHT DETECT200F12-32V BOLT-ON,56.75,0,30.58,56.75,WEST,WEST,OVRHT DETECT200F12-32V BOLT-ON
AAL-20118,"OVRHT DETECT200F12-32V 1/2""""MPT""",66.68,0,35.94,66.68,WEST,WEST,"OVRHT DETECT200F12-32V 1/2""""MPT"""
AAL-20120,BILGE LEVEL DETECT 12/32V,78.44,0,42.27,78.44,WEST,WEST,BILGE LEVEL DETECT 12/32V
