Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
110-CAULKGUN,CAULK GUN,0.00,1,41.29,0.00,WEST,Default,CAULK GUN
215-CAULKGUN,CAULK GUN,0.00,1,17.69,0.00,WEST,Default,CAULK GUN
HORN,CLEAROUT HORN,57.99,0,35.00,0.00,WEST,Default,CLEAROUT HORN
MISC,862ML 3M MARINE PREMIUM FILLER-1/2 Can,50.17,0,33.45,50.17,WEST,Default,862ML 3M MARINE PREMIUM FILLER-1/2 Can
VER-216080101FT,16/2 AWG White- Sold Per Foot.,0.88,0,0.47,0.88,WEST,Default,16/2 AWG White- Sold Per Foot.
SED136016-1,BROZ EYE SEADOG,22.20,1,9.99,0.00,WEST,SEA,BROZ EYE SEADOG
18-7824-2,OIL FILTER,12.09,5,7.52,0.00,WEST,Sierra,OIL FILTER
18-7944,Fuel/Watter separating filter,12.09,0,7.24,0.00,WEST,Sierra,Fuel/Watter separating filter
SIE-18-7824-2,OIL FILTER,14.11,5,7.62,14.11,WEST,Sierra,OIL FILTER
SIE-18-9650-2,HI-PERF.GEAR LUBE-QT,24.85,3,11.11,24.85,WEST,Sierra,HI-PERF.GEAR LUBE-QT
00117075,"BUCK-CORED PLUG, BRONZE",12.10,0,1.00,12.10,WEST,WEST,"BUCK-CORED PLUG, BRONZE"
010-02091-51,GPSMAP 8610XSV,3639.80,0,3279.10,3639.80,WEST,WEST,GPSMAP 8610XSV
012415-10,"UNION CONNECTR 1/2""CTS(3515-10",14.94,1,7.55,14.96,WEST,WEST,"UNION CONNECTR 1/2""CTS(3515-10"
02017-00,1/8 T/SEND SINGLE STATION DAT,27.86,4,7.48,27.86,WEST,WEST,1/8 T/SEND SINGLE STATION DAT
04036-PT,"CABLE MOTOR-24V,  GLENDENING",304.94,0,182.60,304.94,WEST,WEST,"CABLE MOTOR-24V,  GLENDENING"
050001199C,"CYLINDER, TRANSPARENT SPARE-8""X14""",624.82,0,374.89,624.82,WEST,WEST,"CYLINDER, TRANSPARENT SPARE-8""X14"""
7494,PRIMER BULB - 5/16 INCH,15.59,2,9.08,15.59,WEST,WEST,PRIMER BULB - 5/16 INCH
7813,PRIMER BULB- 1 1/4 INCH,15.89,2,9.83,15.89,WEST,WEST,PRIMER BULB- 1 1/4 INCH
9060,09060 32OZ Hull/Deck CLNR,48.42,0,23.28,0.00,WEST,WEST,09060 32OZ Hull/Deck CLNR
1000047,S/S ALLEN SKT KNRL CAP SCREW,36.44,0,19.64,36.44,WEST,WEST,S/S ALLEN SKT KNRL CAP SCREW
1000098,SA2 SMART ACUATOR 12V PORT,4585.70,0,2745.93,4585.70,WEST,WEST,SA2 SMART ACUATOR 12V PORT
1000101,REPAIR KIT FOR W/CR IMPELLER,233.27,0,132.70,233.27,WEST,WEST,REPAIR KIT FOR W/CR IMPELLER
1000128,K CRANK ASSEMBLY,407.60,0,219.66,407.60,WEST,WEST,K CRANK ASSEMBLY
1000136,SA2 SMART ACUATOR 12V STBD,4585.70,0,2745.93,4585.70,WEST,WEST,SA2 SMART ACUATOR 12V STBD
1000284,KIT TOILET MNTING F/M-28,78.89,0,42.52,78.89,WEST,WEST,KIT TOILET MNTING F/M-28
1000349,S/S TBKL FORK/FORK 5/8 TH WIRE,352.27,0,189.85,352.27,WEST,WEST,S/S TBKL FORK/FORK 5/8 TH WIRE
1000357,BAR LAMP 24V,155.23,0,83.65,155.23,WEST,WEST,BAR LAMP 24V
1000365,PIRANNA 1100 GPH BILGE PUMP,158.28,0,85.30,158.28,WEST,WEST,PIRANNA 1100 GPH BILGE PUMP
1000519,3/4 FOOTLESS PUMP,1554.22,0,837.60,1554.22,WEST,WEST,3/4 FOOTLESS PUMP
